Magnetic_Field_Strength,Gradient_Strength,RF_Power,Pulse_Sequence,Scan_Duration,Time,label,parameter
1,15,141,7,35,7,Malfunction,Pulse_Sequence
5,19,133,4,52,6,Malfunction,Magnetic_Field_Strength
2,22,64,1,45,4,Not malfunction,parameters are working correctly
2,23,146,5,56,5,Not malfunction,parameters are working correctly
1,24,72,1,44,5,Not malfunction,parameters are working correctly
1,15,56,2,25,1,Not malfunction,parameters are working correctly
2,13,43,7,32,7,Malfunction,Pulse_Sequence
3,25,152,5,39,5,Not malfunction,parameters are working correctly
1,13,85,3,36,3,Not malfunction,parameters are working correctly
0,27,104,8,24,9,Malfunction,Pulse_Sequence
3,20,129,3,26,4,Not malfunction,parameters are working correctly
1,22,92,4,25,2,Not malfunction,parameters are working correctly
1,16,231,2,43,7,Malfunction,RF_Power
2,19,119,3,75,8,Malfunction,Scan_Duration
1,23,182,8,26,10,Malfunction,Pulse_Sequence
3,14,160,5,56,1,Not malfunction,parameters are working correctly
3,21,158,4,49,4,Not malfunction,parameters are working correctly
2,14,65,5,23,4,Not malfunction,parameters are working correctly
1,12,186,4,32,3,Not malfunction,parameters are working correctly
4,25,119,3,24,6,Malfunction,Magnetic_Field_Strength
1,10,124,4,42,4,Not malfunction,parameters are working correctly
2,25,189,4,52,3,Not malfunction,parameters are working correctly
1,17,215,3,27,6,Malfunction,RF_Power
5,24,95,3,44,10,Malfunction,Magnetic_Field_Strength
3,13,183,5,33,5,Not malfunction,parameters are working correctly
3,14,200,4,56,2,Not malfunction,parameters are working correctly
4,19,190,4,38,10,Malfunction,Magnetic_Field_Strength
5,15,73,2,43,8,Malfunction,Magnetic_Field_Strength
1,15,177,3,31,1,Not malfunction,parameters are working correctly
1,10,191,4,22,1,Not malfunction,parameters are working correctly
2,26,188,4,19,2,Not malfunction,parameters are working correctly
2,18,72,5,40,4,Not malfunction,parameters are working correctly
5,19,73,5,36,9,Malfunction,Magnetic_Field_Strength
3,24,159,1,18,5,Not malfunction,parameters are working correctly
2,21,141,3,23,3,Not malfunction,parameters are working correctly
1,37,144,3,34,10,Malfunction,Gradient_Strength
2,18,185,3,23,5,Not malfunction,parameters are working correctly
2,24,74,4,33,5,Not malfunction,parameters are working correctly
2,23,88,1,23,3,Not malfunction,parameters are working correctly
