Heart_Rate,Blood_Pressure_Systolic,Blood_Pressure_Diastolic,Oxygen_Saturation,Temperature,Time,label,parameter
85,116,72,98,37,4,Not malfunction,parameters are working correctly
90,108,61,100,36,5,Not malfunction,parameters are working correctly
122,109,67,97,36,8,Malfunction,Heart_Rate
90,103,75,90,36,10,Malfunction,Oxygen_Saturation
61,97,81,96,38,7,Malfunction,Temperature
76,138,70,99,36,6,Malfunction,Blood_Pressure_Systolic
54,122,81,95,39,9,Malfunction,Temperature
77,95,66,99,36,1,Not malfunction,parameters are working correctly
73,141,79,96,36,8,Malfunction,Blood_Pressure_Systolic
68,99,64,97,36,4,Not malfunction,parameters are working correctly
79,111,92,100,36,8,Malfunction,Blood_Pressure_Diastolic
78,97,75,100,40,6,Malfunction,Temperature
89,103,65,96,40,7,Malfunction,Temperature
114,111,71,97,36,6,Malfunction,Heart_Rate
75,96,60,96,37,2,Not malfunction,parameters are working correctly
80,107,71,95,36,3,Not malfunction,parameters are working correctly
63,99,72,100,37,5,Not malfunction,parameters are working correctly
88,98,64,96,37,4,Not malfunction,parameters are working correctly
72,112,76,99,37,3,Not malfunction,parameters are working correctly
77,99,69,100,37,1,Not malfunction,parameters are working correctly
73,106,78,100,37,5,Not malfunction,parameters are working correctly
82,100,61,100,37,5,Not malfunction,parameters are working correctly
77,99,67,88,37,6,Malfunction,Oxygen_Saturation
69,106,61,98,37,2,Not malfunction,parameters are working correctly
73,112,61,98,37,4,Not malfunction,parameters are working correctly
79,93,64,100,37,3,Not malfunction,parameters are working correctly
82,131,76,97,36,8,Malfunction,Blood_Pressure_Systolic
67,97,72,100,37,4,Not malfunction,parameters are working correctly
74,133,70,96,36,7,Malfunction,Blood_Pressure_Systolic
74,97,70,90,36,6,Malfunction,Oxygen_Saturation
78,92,77,97,36,1,Not malfunction,parameters are working correctly
79,94,72,87,36,8,Malfunction,Oxygen_Saturation
75,112,78,95,36,2,Not malfunction,parameters are working correctly
70,104,65,99,36,2,Not malfunction,parameters are working correctly
62,111,63,100,37,5,Not malfunction,parameters are working correctly
85,132,74,96,36,9,Malfunction,Blood_Pressure_Systolic
118,112,73,98,36,6,Malfunction,Heart_Rate
93,102,79,95,37,2,Not malfunction,parameters are working correctly
77,109,74,90,36,9,Malfunction,Oxygen_Saturation
66,98,61,87,36,6,Malfunction,Oxygen_Saturation
71,116,71,96,36,1,Not malfunction,parameters are working correctly
61,103,78,99,37,2,Not malfunction,parameters are working correctly
74,98,60,97,37,4,Not malfunction,parameters are working correctly
130,99,67,99,36,8,Malfunction,Heart_Rate
83,144,72,99,36,9,Malfunction,Blood_Pressure_Systolic
128,92,75,96,36,7,Malfunction,Heart_Rate
71,121,69,89,36,8,Malfunction,Oxygen_Saturation
78,118,69,97,38,7,Malfunction,Temperature
83,108,63,95,37,5,Not malfunction,parameters are working correctly
83,99,68,99,36,4,Not malfunction,parameters are working correctly
119,102,67,96,36,9,Malfunction,Heart_Rate
91,94,78,97,36,1,Not malfunction,parameters are working correctly
92,96,68,96,37,5,Not malfunction,parameters are working correctly
119,111,79,98,36,6,Malfunction,Heart_Rate
81,103,64,96,36,5,Not malfunction,parameters are working correctly
82,117,64,96,40,8,Malfunction,Temperature
98,110,77,96,36,4,Not malfunction,parameters are working correctly
