Tidal_Volume,Respiratory_Rate,FiO2,PEEP,PIP,Time,label,parameter
582,17,23,8,28,7,Malfunction,FiO2
516,12,27,6,26,6,Malfunction,FiO2
469,16,41,10,28,2,Not malfunction,parameters are working correctly
453,21,52,15,25,10,Malfunction,PEEP
529,19,47,10,29,3,Not malfunction,parameters are working correctly
501,18,44,8,25,2,Not malfunction,parameters are working correctly
564,12,40,9,28,1,Not malfunction,parameters are working correctly
535,20,53,8,23,3,Not malfunction,parameters are working correctly
484,14,55,10,26,4,Not malfunction,parameters are working correctly
714,13,41,10,40,6,Malfunction,PIP
440,12,53,6,27,2,Not malfunction,parameters are working correctly
420,12,56,5,26,4,Not malfunction,parameters are working correctly
427,7,59,6,24,8,Malfunction,Respiratory_Rate
854,20,56,6,27,10,Malfunction,Tidal_Volume
434,16,59,7,25,2,Not malfunction,parameters are working correctly
560,16,53,15,23,10,Malfunction,PEEP
657,16,41,10,21,4,Not malfunction,parameters are working correctly
471,12,47,10,20,4,Not malfunction,parameters are working correctly
506,13,42,5,21,2,Not malfunction,parameters are working correctly
580,19,41,5,30,4,Not malfunction,parameters are working correctly
597,17,42,9,26,4,Not malfunction,parameters are working correctly
653,12,22,8,26,9,Malfunction,FiO2
856,17,54,9,27,9,Malfunction,Tidal_Volume
619,14,55,7,39,9,Malfunction,PIP
479,15,50,12,26,7,Malfunction,PEEP
575,18,21,6,23,9,Malfunction,FiO2
360,12,30,6,26,7,Malfunction,FiO2
688,13,55,10,23,3,Not malfunction,parameters are working correctly
563,12,49,12,28,8,Malfunction,PEEP
946,13,57,6,24,8,Malfunction,Tidal_Volume
490,12,53,15,22,6,Malfunction,PEEP
841,16,42,7,27,8,Malfunction,Tidal_Volume
497,15,51,8,25,5,Not malfunction,parameters are working correctly
643,13,51,5,30,5,Not malfunction,parameters are working correctly
655,18,53,5,28,4,Not malfunction,parameters are working correctly
542,18,49,8,37,9,Malfunction,PIP
625,17,49,9,29,4,Not malfunction,parameters are working correctly
562,13,42,9,27,4,Not malfunction,parameters are working correctly
624,5,50,4,24,10,Malfunction,Respiratory_Rate
807,16,43,8,22,10,Malfunction,Tidal_Volume
419,15,21,8,25,9,Malfunction,FiO2
616,12,55,13,21,9,Malfunction,PEEP
475,12,49,7,25,5,Not malfunction,parameters are working correctly
612,16,52,10,24,4,Not malfunction,parameters are working correctly
620,18,25,4,23,9,Malfunction,FiO2
436,20,49,8,30,3,Not malfunction,parameters are working correctly
476,18,48,12,26,7,Malfunction,PEEP
602,12,44,6,22,2,Not malfunction,parameters are working correctly
895,18,47,7,25,10,Malfunction,Tidal_Volume
910,19,49,5,26,7,Malfunction,Tidal_Volume
650,16,47,6,21,1,Not malfunction,parameters are working correctly
643,17,42,8,28,4,Not malfunction,parameters are working correctly
574,16,28,5,20,8,Malfunction,FiO2
482,16,54,14,20,9,Malfunction,PEEP
542,16,27,7,25,9,Malfunction,FiO2
473,16,54,10,23,4,Not malfunction,parameters are working correctly
608,10,41,5,24,6,Malfunction,Respiratory_Rate
408,15,46,7,23,1,Not malfunction,parameters are working correctly
652,19,51,7,26,4,Not malfunction,parameters are working correctly
446,18,46,10,20,1,Not malfunction,parameters are working correctly
541,16,49,7,30,2,Not malfunction,parameters are working correctly
575,17,56,13,18,10,Malfunction,PEEP
620,14,56,14,30,9,Malfunction,PEEP
493,17,42,7,28,5,Not malfunction,parameters are working correctly
519,15,50,15,22,8,Malfunction,PEEP
631,17,54,7,29,5,Not malfunction,parameters are working correctly
779,11,49,8,21,10,Malfunction,Respiratory_Rate
537,15,43,10,25,1,Not malfunction,parameters are working correctly
524,5,46,7,21,7,Malfunction,Respiratory_Rate
558,19,49,7,25,2,Not malfunction,parameters are working correctly
500,17,41,10,30,5,Not malfunction,parameters are working correctly
626,16,41,14,22,6,Malfunction,PEEP
480,12,45,9,38,9,Malfunction,PIP
450,17,36,8,38,6,Malfunction,PIP
